EmpID,Department,Experience,Salary,Performance
100,IT,16,64694,5
101,Finance,5,131320,2
102,Sales,8,80748,3
103,IT,20,144997,5
104,IT,19,92113,2
105,Sales,13,64344,5
106,Sales,6,39934,1
107,Finance,28,34786,5
108,Sales,21,106749,5
109,HR,4,30469,2
110,Sales,16,78761,5
111,Marketing,27,30568,5
112,HR,29,80715,2
113,IT,27,125316,3
114,Sales,13,46685,5
115,Finance,20,120420,5
116,IT,7,61921,3
117,Finance,5,86771,1
118,Finance,29,43099,1
119,Finance,19,71575,1
120,Sales,28,41480,2
121,Sales,21,54294,3
122,Marketing,21,92411,2
123,HR,11,126602,5
124,Marketing,10,137347,4
125,Marketing,14,37114,4
126,Marketing,30,114845,1
127,Finance,13,112080,3
128,Finance,14,64173,1
129,HR,25,107918,5
130,HR,30,119793,2
131,Marketing,5,139843,1
132,Finance,28,97929,1
133,IT,15,59877,4
134,Sales,2,34993,1
135,HR,10,92016,1
136,Marketing,4,134912,1
137,HR,5,100977,5
138,Finance,3,108235,1
139,Sales,19,31905,3
140,HR,24,52357,3
141,Finance,2,53658,3
142,Marketing,30,132554,1
143,Sales,6,71972,4
144,IT,6,141639,3
145,HR,28,35484,2
146,Sales,28,30201,3
147,HR,3,97451,4
148,Finance,23,138142,2
149,Marketing,8,137034,4
150,IT,14,123926,2
151,HR,28,139188,2
152,Marketing,23,127335,3
153,HR,24,94705,2
154,HR,11,108432,3
155,IT,28,52590,5
156,Finance,7,135414,1
157,Finance,25,117792,2
158,HR,5,37691,5
159,IT,29,59134,5
160,Sales,25,141105,2
161,HR,10,99053,2
162,IT,16,56357,5
163,HR,3,89073,5
164,Finance,13,118119,4
165,HR,10,30401,4
166,IT,7,40888,5
167,Sales,12,76981,4
168,Sales,30,128056,2
169,IT,21,56473,1
170,IT,13,127881,1
171,HR,25,69451,5
172,HR,9,57065,5
173,Sales,25,88957,4
174,Finance,22,128515,2
175,Marketing,18,138346,3
176,Sales,23,147839,1
177,Marketing,1,135053,5
178,IT,21,120784,3
179,HR,20,115003,2
180,Marketing,1,116551,4
181,Finance,18,135564,2
182,Sales,7,145117,4
183,HR,2,72589,5
184,Finance,1,134248,3
185,Sales,22,50370,5
186,Sales,30,45650,2
187,IT,5,30352,1
188,Finance,4,78968,4
189,Sales,1,45737,4
190,Marketing,18,89067,3
191,Marketing,29,117560,4
192,Marketing,24,69865,2
193,Sales,8,113548,5
194,IT,16,135426,4
195,HR,7,128196,5
196,Finance,25,37570,5
197,HR,29,105127,2
198,Sales,26,34735,2
199,Marketing,9,54730,4
200,Sales,10,105385,5
201,Sales,13,59480,1
202,Finance,26,79477,1
203,HR,10,52537,2
204,Finance,4,35094,4
205,Finance,21,125630,5
206,Sales,24,72235,2
207,HR,13,83097,2
208,Marketing,5,66554,5
209,HR,3,112707,2
210,Sales,28,65509,4
211,IT,2,141010,3
212,Sales,8,60874,5
213,Sales,24,149963,3
214,Sales,18,121829,5
215,Finance,5,85642,3
216,Marketing,21,113667,3
217,Finance,10,70679,5
218,Sales,22,109766,2
219,HR,14,32414,5
220,IT,20,80229,4
221,Finance,14,62432,3
222,IT,5,101450,5
223,Finance,12,146385,2
224,Sales,12,140035,1
225,Marketing,23,145364,3
226,HR,5,102518,5
227,Finance,22,35723,5
228,IT,5,93920,3
229,IT,23,70698,1
230,Marketing,30,117103,5
231,IT,4,97333,1
232,Marketing,7,87585,4
233,Marketing,11,94751,1
234,Finance,25,56440,2
235,IT,30,101687,5
236,Sales,9,51573,5
237,IT,29,148899,3
238,Sales,10,138813,5
239,IT,2,106474,3
240,Sales,21,81343,3
241,HR,28,58987,1
242,Finance,29,113426,5
243,IT,4,118851,2
244,HR,25,80708,2
245,Sales,30,139482,3
246,IT,8,46213,5
247,Sales,28,99196,2
248,Marketing,5,33877,5
249,IT,4,68422,4
250,Marketing,13,57259,4
251,Marketing,19,48397,4
252,Sales,26,79021,3
253,Finance,30,49369,3
254,IT,22,48187,5
255,IT,17,149688,2
256,Finance,5,45999,1
257,Marketing,8,99293,3
258,Sales,24,111957,3
259,IT,21,106250,3
260,IT,3,42202,4
261,Finance,17,139611,2
262,Finance,7,128377,5
263,IT,19,69758,3
264,Sales,17,111271,3
265,Sales,25,145603,5
266,Finance,16,76410,2
267,HR,11,115175,2
268,Finance,5,95270,1
269,Sales,26,100628,2
270,Sales,26,69507,1
271,HR,24,84114,3
272,IT,12,33630,3
273,IT,15,56258,5
274,IT,17,79477,5
275,IT,18,52787,4
276,Marketing,20,63146,2
277,Marketing,1,43223,5
278,IT,26,148823,1
279,HR,21,45883,1
280,IT,11,103238,2
281,Finance,20,141741,2
282,IT,4,114813,2
283,HR,2,50792,1
284,IT,18,39578,2
285,Marketing,5,73470,4
286,Finance,1,37551,5
287,HR,21,79562,5
288,IT,2,66633,4
289,Finance,9,86340,1
290,HR,27,51283,5
291,Sales,24,104637,2
292,IT,26,53322,2
293,Sales,3,90263,3
294,Sales,12,118426,2
295,Sales,8,134881,5
296,Finance,7,52577,5
297,Marketing,29,55527,5
298,Finance,29,115576,1
299,Sales,11,139975,2
300,Marketing,11,61383,3
301,Finance,11,41655,5
302,IT,17,127004,5
303,Sales,12,39962,2
304,HR,10,146275,2
305,IT,19,119756,5
306,Marketing,9,110280,3
307,Marketing,24,62012,1
308,IT,7,124611,2
309,IT,22,40652,2
310,Marketing,15,138726,3
311,Sales,24,33232,2
312,HR,4,137296,5
313,Marketing,6,40798,5
314,HR,20,74575,3
315,Marketing,28,112767,2
316,HR,30,35446,5
317,Sales,1,41436,2
318,Sales,12,97241,5
319,Sales,3,127394,3
320,HR,4,65248,1
321,Sales,12,139181,1
322,IT,8,124210,2
323,IT,24,94933,4
324,Marketing,13,42679,3
325,IT,7,62917,3
326,Marketing,23,44689,4
327,HR,14,117882,2
328,Sales,1,54999,3
329,Finance,26,76250,4
330,Marketing,1,109766,1
331,IT,18,147732,3
332,HR,11,75936,3
333,Marketing,26,93949,5
334,Marketing,19,108533,4
335,Marketing,18,51526,4
336,Sales,7,105724,1
337,Sales,28,60086,1
338,IT,7,90916,2
339,Sales,11,52481,3
340,Finance,4,127485,1
341,Sales,22,75268,3
342,HR,6,113822,4
343,Finance,27,148863,1
344,HR,28,148338,2
345,HR,12,118945,5
346,Sales,20,74744,3
347,Sales,10,136835,4
348,Marketing,17,51361,5
349,Finance,26,59065,4
350,Sales,27,41034,1
351,HR,6,83947,3
352,IT,19,138566,1
353,Sales,8,106699,3
354,Marketing,29,96557,4
355,Sales,14,76467,4
356,Marketing,25,140159,2
357,Marketing,13,34829,2
358,IT,1,89365,4
359,HR,15,127879,3
360,HR,27,63346,5
361,HR,10,31184,3
362,Finance,25,84157,3
363,IT,19,149906,4
364,IT,29,40474,3
365,Sales,24,149873,2
366,HR,14,81453,1
367,IT,6,97183,4
368,IT,10,35581,5
369,HR,5,120649,2
370,Marketing,28,59149,5
371,Sales,10,118705,4
372,HR,4,70752,2
373,IT,30,84510,1
374,Finance,6,129111,2
375,IT,22,136707,2
376,Sales,2,30929,3
377,Marketing,27,76366,2
378,Finance,7,70199,5
379,HR,22,112162,3
380,Marketing,12,54536,2
381,Finance,17,134182,4
382,Marketing,22,106463,3
383,Sales,27,35057,5
384,IT,1,71394,2
385,IT,28,37999,2
386,IT,30,92986,3
387,Sales,10,100558,1
388,Sales,24,48299,4
389,HR,19,48574,1
390,Finance,1,69527,5
391,Finance,14,41655,5
392,Finance,8,74707,5
393,IT,9,69251,1
394,HR,29,95026,2
395,HR,16,46065,2
396,Finance,20,79755,3
397,Marketing,18,49559,3
398,Marketing,19,125644,1
399,Finance,9,35523,1
400,HR,2,85722,5
401,Finance,7,146982,5
402,Sales,21,145684,4
403,Marketing,14,96294,5
404,Finance,6,81964,2
405,Sales,17,141905,4
406,IT,28,125320,4
407,Finance,25,90280,1
408,HR,9,141304,3
409,HR,26,138067,3
410,Finance,23,37891,5
411,Marketing,10,104246,1
412,Marketing,27,30437,2
413,Marketing,8,86678,1
414,Finance,3,110352,1
415,Finance,27,123108,1
416,Sales,16,141811,4
417,HR,15,62068,3
418,HR,13,101262,3
419,IT,12,87660,3
420,IT,2,65323,3
421,HR,21,52361,2
422,Sales,26,37654,1
423,Sales,11,61242,4
424,HR,30,107421,5
425,Marketing,27,69839,4
426,HR,10,99495,1
427,Marketing,15,133268,5
428,HR,16,122138,2
429,Sales,24,96756,3
430,Finance,6,99603,5
431,Marketing,23,128551,5
432,Sales,2,68681,2
433,HR,3,59151,2
434,Sales,30,112288,5
435,Finance,10,68698,1
436,HR,3,53662,3
437,Marketing,13,114104,5
438,IT,1,74706,3
439,IT,3,104480,5
440,Finance,9,35633,5
441,Sales,16,104034,1
442,Finance,16,98084,2
443,Sales,6,37580,5
444,HR,5,134660,5
445,Marketing,20,81566,4
446,Finance,24,124533,5
447,IT,17,112705,4
448,Finance,24,139572,3
449,IT,5,88280,4
450,Marketing,27,145435,4
451,Finance,27,39595,1
452,Finance,3,141371,5
453,IT,26,40309,1
454,Sales,26,85981,2
455,HR,14,33022,5
456,Marketing,24,111779,2
457,HR,22,126542,4
458,Marketing,9,110295,4
459,Finance,29,114914,1
460,Sales,30,116046,4
461,HR,17,137605,4
462,IT,10,137632,3
463,HR,23,102679,3
464,Sales,28,145841,3
465,Sales,2,33776,2
466,Marketing,11,125755,2
467,HR,22,93210,2
468,Sales,28,42197,1
469,IT,8,83972,2
470,Marketing,5,33319,2
471,Sales,6,37434,2
472,HR,13,109419,1
473,IT,21,47295,1
474,Finance,24,37869,3
475,Marketing,19,149674,4
476,HR,29,102659,4
477,Marketing,17,78476,2
478,Finance,5,88645,1
479,Sales,3,87442,3
480,Marketing,21,119620,3
481,Sales,5,96886,2
482,IT,19,136432,5
483,HR,25,94167,2
484,IT,4,89653,2
485,Marketing,16,36347,4
486,Marketing,1,135584,5
487,HR,1,56599,4
488,Finance,7,42098,3
489,Finance,24,134725,4
490,Marketing,8,68137,2
491,Sales,3,79322,5
492,Sales,2,104776,1
493,HR,11,112432,1
494,Marketing,30,41871,1
495,Sales,1,90662,1
496,HR,11,125133,2
497,HR,2,132897,5
498,Sales,2,101807,1
499,HR,6,115372,3
500,Sales,9,118422,5
